______,___,__,__,__,__,__,__,__,__,_,__,__,_,___,___,____,____,_____,______,____
,__,_,"572,675","213,810","92,235","102,931","59,612","13,491","14,558","6,701","6,736","4,693",818,"1,501","32,410",988,"10,470",420,366,"10,935"
,__,_,"277,288","104,242","43,641","49,679","28,693","6,524","6,998","3,168","3,233","2,323",388,751,"15,621",491,"5,198",215,188,"5,935"
,__,_,"295,387","109,568","48,594","53,252","30,919","6,967","7,560","3,533","3,503","2,370",430,750,"16,789",497,"5,272",205,178,"5,000"
,___,_,"56,775","33,485","7,630","4,542","3,783",561,"1,364",223,541,91,49,302,"2,139",54,321,14,0,"1,676"
,___,_,"26,265","15,934","3,318","2,074","1,710",244,614,85,217,42,23,142,882,32,133,8,0,807
,___,_,"30,510","17,551","4,312","2,468","2,073",317,750,138,324,49,26,160,"1,257",22,188,6,0,869
,___,_,"17,055","8,082","2,948","1,713","1,097",254,520,179,192,52,24,39,958,33,243,1,1,719
,___,_,"7,214","3,574","1,172",723,452,110,231,69,88,19,7,17,391,14,94,0,0,253
,___,_,"9,841","4,508","1,776",990,645,144,289,110,104,33,17,22,567,19,149,1,1,466
,___,_,"76,280","36,352","21,303","6,161","4,619",520,"1,210",213,"1,118",128,36,177,"2,406",135,503,1,6,"1,392"
,___,_,"36,501","17,820","10,161","2,811","2,000",237,591,96,486,43,17,97,"1,141",78,217,0,2,704
,___,_,"39,779","18,532","11,142","3,350","2,619",283,619,117,632,85,19,80,"1,265",57,286,1,4,688
,___,_,"35,435","10,550","9,342","6,827","4,695",418,748,290,225,88,153,52,729,16,860,13,23,406
,___,_,"16,317","5,066","4,321","3,161","2,001",191,345,116,102,33,63,17,311,9,379,6,8,188
,___,_,"19,118","5,484","5,021","3,666","2,694",227,403,174,123,55,90,35,418,7,481,7,15,218
,___,_,"8,258","2,594",682,"2,526","1,159",221,373,105,30,17,17,15,303,7,81,2,6,120
,___,_,"3,478","1,098",264,"1,077",495,90,159,47,13,10,6,7,122,3,31,2,2,52
,___,_,"4,780","1,496",418,"1,449",664,131,214,58,17,7,11,8,181,4,50,0,4,68
,___,_,"35,381","9,948","1,429","9,043","9,168","2,692",825,593,64,47,21,40,625,13,171,340,301,61
,___,_,"16,611","4,665",586,"3,985","4,590","1,326",373,257,22,22,8,20,305,6,69,176,168,33
,___,_,"18,770","5,283",843,"5,058","4,578","1,366",452,336,42,25,13,20,320,7,102,164,133,28
,___,_,"342,129","112,134","48,731","71,934","34,958","8,806","9,500","5,075","4,548","4,267",516,871,"25,170",729,"8,276",49,28,"6,537"
,___,_,"170,194","55,746","23,732","35,751","17,378","4,313","4,676","2,485","2,302","2,154",264,448,"12,421",348,"4,268",23,7,"3,878"
,___,_,"171,935","56,388","24,999","36,183","17,580","4,493","4,824","2,590","2,246","2,113",252,423,"12,749",381,"4,008",26,21,"2,659"
,___,_,"17,496","2,271","13,311",333,326,49,119,29,34,4,4,13,517,8,42,1,1,434
,___,_,"8,583","1,016","6,762",123,117,28,47,13,12,0,2,6,202,5,16,1,0,233
,___,_,"8,913","1,255","6,549",210,209,21,72,16,22,4,2,7,315,3,26,0,1,201
,___,_,"21,897","2,009","16,381",576,430,66,145,47,"1,587",15,9,8,257,12,80,0,1,274
,___,_,"10,741",895,"8,253",233,154,32,63,19,795,9,5,3,91,5,34,0,0,150
,___,_,"11,156","1,114","8,128",343,276,34,82,28,792,6,4,5,166,7,46,0,1,124
,___,_,"11,396","1,465","6,282",420,379,25,90,23,"2,346",18,10,14,139,1,65,3,0,116
,___,_,"5,519",628,"3,113",179,138,12,41,5,"1,244",9,3,5,59,0,28,2,0,53
,___,_,"5,877",837,"3,169",241,241,13,49,18,"1,102",9,7,9,80,1,37,1,0,63
,___,_,"5,943","2,181",508,"1,401",993,149,209,53,29,14,27,24,151,0,109,2,8,85
,___,_,"2,599",975,180,630,443,61,73,21,15,9,16,15,71,0,50,0,1,39
,___,_,"3,344","1,206",328,771,550,88,136,32,14,5,11,9,80,0,59,2,7,46
,___,_,"29,319","1,024","5,861",517,"14,048",73,83,247,47,5,430,3,123,3,"6,833",10,2,10
,___,_,"14,743",426,"2,857",205,"7,201",29,29,114,20,3,225,0,45,1,"3,574",7,0,7
,___,_,"14,576",598,"3,004",312,"6,847",44,54,133,27,2,205,3,78,2,"3,259",3,2,3
,___,_,"2,594","1,060",309,443,351,63,67,46,23,11,0,3,123,2,28,2,0,63
,___,_,"1,048",430,105,187,145,30,20,13,8,8,0,2,60,0,14,0,0,26
,___,_,"1,546",630,204,256,206,33,47,33,15,3,0,1,63,2,14,2,0,37
,___,_,"5,893",615,202,338,327,35,71,"4,056",31,2,20,1,58,1,45,4,1,86
,___,_,"2,805",243,73,139,146,13,32,"2,057",14,0,7,1,18,0,17,2,0,43
,___,_,"3,088",372,129,199,181,22,39,"1,999",17,2,13,0,40,1,28,2,1,43
,___,_,"60,183","2,391",461,"49,138",807,"6,092",241,69,31,14,5,13,186,8,33,21,7,666
,___,_,"29,741","1,050",170,"24,630",288,"2,982",101,31,8,6,2,2,77,3,9,9,1,372
,___,_,"30,442","1,341",291,"24,508",519,"3,110",140,38,23,8,3,11,109,5,24,12,6,294
,___,_,"78,584","36,230",524,"16,905","8,355","2,087","7,712",38,55,"4,141",2,106,221,6,32,2,4,"2,164"
,___,_,"40,284","18,609",207,"8,643","4,227","1,067","3,936",9,25,"2,098",0,56,83,3,14,1,2,"1,304"
,___,_,"38,300","17,621",317,"8,262","4,128","1,020","3,776",29,30,"2,043",2,50,138,3,18,1,2,860
,___,_,"93,291","53,220","2,731",905,"8,292",79,499,36,66,22,0,655,"22,931",672,904,4,0,"2,275"
,___,_,"46,971","26,778","1,187",379,"4,233",24,227,12,30,8,0,346,"11,507",325,458,1,0,"1,456"
,___,_,"46,320","26,442","1,544",526,"4,059",55,272,24,36,14,0,309,"11,424",347,446,3,0,819
,___,_,612,240,84,143,61,12,23,7,2,1,0,0,20,0,14,0,4,1
,___,_,289,115,38,71,25,6,9,2,1,0,0,0,12,0,7,0,3,0
,___,_,323,125,46,72,36,6,14,5,1,1,0,0,8,0,7,0,1,1
,___,_,"9,460","7,561",676,287,248,16,99,28,16,9,3,16,220,8,42,0,0,231
,___,_,"4,554","3,717",272,128,109,6,41,7,8,2,1,8,99,3,23,0,0,130
,___,_,"4,906","3,844",404,159,139,10,58,21,8,7,2,8,121,5,19,0,0,101
,___,_,"4,323","1,622","1,311",385,200,39,97,20,273,11,5,4,196,2,35,0,0,123
,___,_,"1,847",763,490,160,89,15,38,5,117,2,3,1,86,0,18,0,0,60
,___,_,"2,476",859,821,225,111,24,59,15,156,9,2,3,110,2,17,0,0,63
,___,_,"1,138",245,90,143,141,21,45,376,8,0,1,11,28,6,14,0,0,9
,___,_,470,101,25,44,63,8,19,177,5,0,0,3,11,3,6,0,0,5
,___,_,668,144,65,99,78,13,26,199,3,0,1,8,17,3,8,0,0,4
,___,_,"1,362",665,170,185,133,19,18,23,18,3,2,5,80,1,15,0,1,24
,___,_,708,339,87,97,67,13,9,13,3,0,0,3,48,1,7,0,1,20
,___,_,654,326,83,88,66,6,9,10,15,3,2,2,32,0,8,0,0,4
,___,_,"1,143",565,138,156,118,17,14,20,17,1,2,3,56,1,11,0,1,23
,___,_,576,281,65,81,56,11,6,11,3,0,0,2,34,1,5,0,1,19
,___,_,567,284,73,75,62,6,8,9,14,1,2,1,22,0,6,0,0,4
,___,_,219,100,32,29,15,2,4,3,1,2,0,2,24,0,4,0,0,1
,___,_,132,58,22,16,11,2,3,2,0,0,0,1,14,0,2,0,0,1
,___,_,87,42,10,13,4,0,1,1,1,2,0,1,10,0,2,0,0,0
_____,__,_,"268,224","212,611","1,871","21,419",364,"2,644","14,446",15,"4,506",12,811,"1,499",147,986,15,0,0,"6,878"
,__,_,"130,966","103,753",825,"10,359",129,"1,293","6,955",6,"2,173",4,386,751,67,490,7,0,0,"3,768"
,__,_,"137,258","108,858","1,046","11,060",235,"1,351","7,491",9,"2,333",8,425,748,80,496,8,0,0,"3,110"
,___,_,"38,908","33,385",133,"1,672",57,219,"1,347",0,361,2,49,302,12,54,1,0,0,"1,314"
,___,_,"18,433","15,889",43,782,16,97,608,0,148,0,23,142,5,32,0,0,0,648
,___,_,"20,475","17,496",90,890,41,122,739,0,213,2,26,160,7,22,1,0,0,666
,___,_,"9,978","8,042",64,545,9,63,520,0,120,0,24,39,9,33,1,0,0,509
,___,_,"4,354","3,553",28,230,3,28,231,0,56,0,7,17,2,14,0,0,0,185
,___,_,"5,624","4,489",36,315,6,35,289,0,64,0,17,22,7,19,1,0,0,324
,___,_,"41,935","36,163",367,"1,884",37,199,"1,184",1,827,0,36,177,12,135,2,0,0,911
,___,_,"20,500","17,742",149,885,13,96,581,0,357,0,17,97,5,78,1,0,0,479
,___,_,"21,435","18,421",218,999,24,103,603,1,470,0,19,80,7,57,1,0,0,432
,___,_,"14,290","10,446",102,"2,126",57,188,738,0,195,0,153,51,8,16,0,0,0,210
,___,_,"6,827","5,029",44,"1,016",27,84,338,0,92,0,63,17,4,9,0,0,0,104
,___,_,"7,463","5,417",58,"1,110",30,104,400,0,103,0,90,34,4,7,0,0,0,106
,___,_,"3,718","2,566",9,590,21,29,372,0,21,0,17,15,2,7,0,0,0,69
,___,_,"1,574","1,089",6,247,11,9,159,0,8,0,6,7,1,3,0,0,0,28
,___,_,"2,144","1,477",3,343,10,20,213,0,13,0,11,8,1,4,0,0,0,41
,___,_,"13,177","9,815",30,"2,186",37,114,818,5,47,1,21,40,5,13,0,0,0,45
,___,_,"6,136","4,609",10,989,13,63,371,5,16,0,8,20,1,6,0,0,0,25
,___,_,"7,041","5,206",20,"1,197",24,51,447,0,31,1,13,20,4,7,0,0,0,20
,___,_,"145,454","111,532","1,161","12,386",146,"1,825","9,449",9,"2,918",9,509,870,99,727,11,0,0,"3,803"
,___,_,"72,755","55,505",543,"6,197",46,912,"4,658",1,"1,493",4,262,448,49,347,6,0,0,"2,284"
,___,_,"72,699","56,027",618,"6,189",100,913,"4,791",8,"1,425",5,247,422,50,380,5,0,0,"1,519"
,___,_,"2,677","2,246",27,143,0,21,116,0,18,0,3,13,2,8,0,0,0,80
,___,_,"1,185","1,003",14,55,0,11,47,0,4,0,2,6,1,5,0,0,0,37
,___,_,"1,492","1,243",13,88,0,10,69,0,14,0,1,7,1,3,0,0,0,43
,___,_,"3,018","1,979",318,154,4,22,142,0,314,0,9,8,1,12,0,0,0,55
,___,_,"1,355",890,153,57,1,10,63,0,140,0,5,3,1,5,0,0,0,27
,___,_,"1,663","1,089",165,97,3,12,79,0,174,0,4,5,0,7,0,0,0,28
,___,_,"4,562","1,454",593,76,6,2,85,3,"2,256",0,10,14,0,1,0,0,0,62
,___,_,"2,253",627,306,30,1,0,37,0,"1,212",0,3,5,0,0,0,0,0,32
,___,_,"2,309",827,287,46,5,2,48,3,"1,044",0,7,9,0,1,0,0,0,30
,___,_,"2,949","2,150",19,380,8,62,208,1,20,0,26,24,1,0,0,0,0,50
,___,_,"1,314",965,4,180,4,22,73,0,9,0,16,15,0,0,0,0,0,26
,___,_,"1,635","1,185",15,200,4,40,135,1,11,0,10,9,1,0,0,0,0,24
,___,_,"1,714","1,014",18,110,18,7,81,0,23,0,429,3,3,3,0,0,0,5
,___,_,743,424,4,39,4,2,28,0,9,0,225,0,3,1,0,0,0,4
,___,_,971,590,14,71,14,5,53,0,14,0,204,3,0,2,0,0,0,1
,___,_,"1,317","1,050",9,115,0,7,66,0,21,0,0,3,0,2,3,0,0,41
,___,_,535,425,4,55,0,4,20,0,6,0,0,2,0,0,1,0,0,18
,___,_,782,625,5,60,0,3,46,0,15,0,0,1,0,2,2,0,0,23
,___,_,870,613,18,84,0,10,69,2,21,0,17,1,1,1,0,0,0,33
,___,_,355,241,5,37,0,4,32,0,10,0,6,1,0,0,0,0,0,19
,___,_,515,372,13,47,0,6,37,2,11,0,11,0,1,1,0,0,0,14
,___,_,"4,713","2,107",15,"2,178",4,90,237,0,10,0,4,13,0,8,0,0,0,47
,___,_,"2,209",915,6,"1,119",0,38,100,0,1,0,1,2,0,3,0,0,0,24
,___,_,"2,504","1,192",9,"1,059",4,52,137,0,9,0,3,11,0,5,0,0,0,23
,___,_,"56,015","36,157",28,"8,567",48,"1,535","7,690",2,38,3,2,106,3,6,1,0,0,"1,829"
,___,_,"28,895","18,587",10,"4,387",16,796,"3,927",1,19,1,0,56,1,3,0,0,0,"1,091"
,___,_,"27,120","17,570",18,"4,180",32,739,"3,763",1,19,2,2,50,2,3,1,0,0,738
,___,_,"56,854","53,133",51,303,56,43,491,1,45,3,0,654,85,670,2,0,0,"1,317"
,___,_,"28,724","26,746",15,128,19,14,224,0,18,3,0,346,42,324,2,0,0,843
,___,_,"28,130","26,387",36,175,37,29,267,1,27,0,0,308,43,346,0,0,0,474
,___,_,313,240,1,47,0,0,23,0,1,1,0,0,0,0,0,0,0,0
,___,_,142,115,0,17,0,0,9,0,1,0,0,0,0,0,0,0,0,0
,___,_,171,125,1,30,0,0,14,0,0,1,0,0,0,0,0,0,0,0
,___,_,"7,987","7,528",15,93,1,1,99,0,8,1,3,16,0,8,5,0,0,209
,___,_,"3,937","3,705",6,45,1,0,41,0,3,0,1,8,0,3,3,0,0,121
,___,_,"4,050","3,823",9,48,0,1,58,0,5,1,2,8,0,5,2,0,0,88
,___,_,"2,099","1,616",48,99,1,12,97,0,140,1,5,4,3,2,0,0,0,71
,___,_,965,761,16,40,0,6,38,0,60,0,3,1,1,0,0,0,0,39
,___,_,"1,134",855,32,59,1,6,59,0,80,1,2,3,2,2,0,0,0,32
,___,_,366,245,1,37,0,13,45,0,3,0,1,11,0,6,0,0,0,4
,___,_,143,101,0,8,0,5,19,0,1,0,0,3,0,3,0,0,0,3
,___,_,223,144,1,29,0,8,26,0,2,0,1,8,0,3,0,0,0,1
,___,_,764,662,5,30,0,7,18,0,17,0,2,5,0,1,0,0,0,17
,___,_,387,337,2,13,0,4,9,0,3,0,0,3,0,1,0,0,0,15
,___,_,377,325,3,17,0,3,9,0,14,0,2,2,0,0,0,0,0,2
,___,_,649,563,5,21,0,7,14,0,17,0,2,3,0,1,0,0,0,16
,___,_,321,280,2,9,0,4,6,0,3,0,0,2,0,1,0,0,0,14
,___,_,328,283,3,12,0,3,8,0,14,0,2,1,0,0,0,0,0,2
,___,_,115,99,0,9,0,0,4,0,0,0,0,2,0,0,0,0,0,1
,___,_,66,57,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,1
,___,_,49,42,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
_____,__,_,"304,451","1,199","90,364","81,512","59,248","10,847",112,"6,686","2,230","4,681",7,2,"32,263",2,"10,455",420,366,"4,057"
,__,_,"146,322",489,"42,816","39,320","28,564","5,231",43,"3,162","1,060","2,319",2,0,"15,554",1,"5,191",215,188,"2,167"
,__,_,"158,129",710,"47,548","42,192","30,684","5,616",69,"3,524","1,170","2,362",5,2,"16,709",1,"5,264",205,178,"1,890"
,___,_,"17,867",100,"7,497","2,870","3,726",342,17,223,180,89,0,0,"2,127",0,320,14,0,362
,___,_,"7,832",45,"3,275","1,292","1,694",147,6,85,69,42,0,0,877,0,133,8,0,159
,___,_,"10,035",55,"4,222","1,578","2,032",195,11,138,111,47,0,0,"1,250",0,187,6,0,203
,___,_,"7,077",40,"2,884","1,168","1,088",191,0,179,72,52,0,0,949,0,242,1,1,210
,___,_,"2,860",21,"1,144",493,449,82,0,69,32,19,0,0,389,0,94,0,0,68
,___,_,"4,217",19,"1,740",675,639,109,0,110,40,33,0,0,560,0,148,1,1,142
,___,_,"34,345",189,"20,936","4,277","4,582",321,26,212,291,128,0,0,"2,394",0,501,1,6,481
,___,_,"16,001",78,"10,012","1,926","1,987",141,10,96,129,43,0,0,"1,136",0,216,0,2,225
,___,_,"18,344",111,"10,924","2,351","2,595",180,16,116,162,85,0,0,"1,258",0,285,1,4,256
,___,_,"21,145",104,"9,240","4,701","4,638",230,10,290,30,88,0,1,721,0,860,13,23,196
,___,_,"9,490",37,"4,277","2,145","1,974",107,7,116,10,33,0,0,307,0,379,6,8,84
,___,_,"11,655",67,"4,963","2,556","2,664",123,3,174,20,55,0,1,414,0,481,7,15,112
,___,_,"4,540",28,673,"1,936","1,138",192,1,105,9,17,0,0,301,0,81,2,6,51
,___,_,"1,904",9,258,830,484,81,0,47,5,10,0,0,121,0,31,2,2,24
,___,_,"2,636",19,415,"1,106",654,111,1,58,4,7,0,0,180,0,50,0,4,27
,___,_,"22,204",133,"1,399","6,857","9,131","2,578",7,588,17,46,0,0,620,0,171,340,301,16
,___,_,"10,475",56,576,"2,996","4,577","1,263",2,252,6,22,0,0,304,0,69,176,168,8
,___,_,"11,729",77,823,"3,861","4,554","1,315",5,336,11,24,0,0,316,0,102,164,133,8
,___,_,"196,675",602,"47,570","59,548","34,812","6,981",51,"5,066","1,630","4,258",7,1,"25,071",2,"8,265",49,28,"2,734"
,___,_,"97,439",241,"23,189","29,554","17,332","3,401",18,"2,484",809,"2,150",2,0,"12,372",1,"4,262",23,7,"1,594"
,___,_,"99,236",361,"24,381","29,994","17,480","3,580",33,"2,582",821,"2,108",5,1,"12,699",1,"4,003",26,21,"1,140"
,___,_,"14,819",25,"13,284",190,326,28,3,29,16,4,1,0,515,0,42,1,1,354
,___,_,"7,398",13,"6,748",68,117,17,0,13,8,0,0,0,201,0,16,1,0,196
,___,_,"7,421",12,"6,536",122,209,11,3,16,8,4,1,0,314,0,26,0,1,158
,___,_,"18,879",30,"16,063",422,426,44,3,47,"1,273",15,0,0,256,0,80,0,1,219
,___,_,"9,386",5,"8,100",176,153,22,0,19,655,9,0,0,90,0,34,0,0,123
,___,_,"9,493",25,"7,963",246,273,22,3,28,618,6,0,0,166,0,46,0,1,96
,___,_,"6,834",11,"5,689",344,373,23,5,20,90,18,0,0,139,0,65,3,0,54
,___,_,"3,266",1,"2,807",149,137,12,4,5,32,9,0,0,59,0,28,2,0,21
,___,_,"3,568",10,"2,882",195,236,11,1,15,58,9,0,0,80,0,37,1,0,33
,___,_,"2,994",31,489,"1,021",985,87,1,52,9,14,1,0,150,0,109,2,8,35
,___,_,"1,285",10,176,450,439,39,0,21,6,9,0,0,71,0,50,0,1,13
,___,_,"1,709",21,313,571,546,48,1,31,3,5,1,0,79,0,59,2,7,22
,___,_,"27,605",10,"5,843",407,"14,030",66,2,247,24,5,1,0,120,0,"6,833",10,2,5
,___,_,"14,000",2,"2,853",166,"7,197",27,1,114,11,3,0,0,42,0,"3,574",7,0,3
,___,_,"13,605",8,"2,990",241,"6,833",39,1,133,13,2,1,0,78,0,"3,259",3,2,2
,___,_,"1,277",10,300,328,351,56,1,46,2,11,0,0,123,0,25,2,0,22
,___,_,513,5,101,132,145,26,0,13,2,8,0,0,60,0,13,0,0,8
,___,_,764,5,199,196,206,30,1,33,0,3,0,0,63,0,12,2,0,14
,___,_,"5,023",2,184,254,327,25,2,"4,054",10,2,3,0,57,0,45,4,1,53
,___,_,"2,450",2,68,102,146,9,0,"2,057",4,0,1,0,18,0,17,2,0,24
,___,_,"2,573",0,116,152,181,16,2,"1,997",6,2,2,0,39,0,28,2,1,29
,___,_,"55,470",284,446,"46,960",803,"6,002",4,69,21,14,1,0,186,0,33,21,7,619
,___,_,"27,532",135,164,"23,511",288,"2,944",1,31,7,6,1,0,77,0,9,9,1,348
,___,_,"27,938",149,282,"23,449",515,"3,058",3,38,14,8,0,0,109,0,24,12,6,271
,___,_,"22,569",73,496,"8,338","8,307",552,22,36,17,"4,138",0,0,218,0,31,2,4,335
,___,_,"11,389",22,197,"4,256","4,211",271,9,8,6,"2,097",0,0,82,0,14,1,2,213
,___,_,"11,180",51,299,"4,082","4,096",281,13,28,11,"2,041",0,0,136,0,17,1,2,122
,___,_,"36,437",87,"2,680",602,"8,236",36,8,35,21,19,0,1,"22,846",2,902,4,0,958
,___,_,"18,247",32,"1,172",251,"4,214",10,3,12,12,5,0,0,"11,465",1,456,1,0,613
,___,_,"18,190",55,"1,508",351,"4,022",26,5,23,9,14,0,1,"11,381",1,446,3,0,345
,___,_,299,0,83,96,61,12,0,7,1,0,0,0,20,0,14,0,4,1
,___,_,147,0,38,54,25,6,0,2,0,0,0,0,12,0,7,0,3,0
,___,_,152,0,45,42,36,6,0,5,1,0,0,0,8,0,7,0,1,1
,___,_,"1,473",33,661,194,247,15,0,28,8,8,0,0,220,0,37,0,0,22
,___,_,617,12,266,83,108,6,0,7,5,2,0,0,99,0,20,0,0,9
,___,_,856,21,395,111,139,9,0,21,3,6,0,0,121,0,17,0,0,13
,___,_,"2,224",6,"1,263",286,199,27,0,20,133,10,0,0,193,0,35,0,0,52
,___,_,882,2,474,120,89,9,0,5,57,2,0,0,85,0,18,0,0,21
,___,_,"1,342",4,789,166,110,18,0,15,76,8,0,0,108,0,17,0,0,31
,___,_,772,0,89,106,141,8,0,376,5,0,0,0,28,0,14,0,0,5
,___,_,327,0,25,36,63,3,0,177,4,0,0,0,11,0,6,0,0,2
,___,_,445,0,64,70,78,5,0,199,1,0,0,0,17,0,8,0,0,3
,___,_,598,3,165,155,133,12,0,23,1,3,0,0,80,0,15,0,1,7
,___,_,321,2,85,84,67,9,0,13,0,0,0,0,48,0,7,0,1,5
,___,_,277,1,80,71,66,3,0,10,1,3,0,0,32,0,8,0,0,2
,___,_,494,2,133,135,118,10,0,20,0,1,0,0,56,0,11,0,1,7
,___,_,255,1,63,72,56,7,0,11,0,0,0,0,34,0,5,0,1,5
,___,_,239,1,70,63,62,3,0,9,0,1,0,0,22,0,6,0,0,2
,___,_,104,1,32,20,15,2,0,3,1,2,0,0,24,0,4,0,0,0
,___,_,66,1,22,12,11,2,0,2,0,0,0,0,14,0,2,0,0,0
,___,_,38,0,10,8,4,0,0,1,1,2,0,0,10,0,2,0,0,0
,______,____,,,,,,,,,,,,,,,,,,
,______,,,,,,,,,,,,,,,,,,,