,Lowland,Highland,Ratio (smaller pop: bigger pop),Population,% of total
Amis,"212,611","1,199",0.563940718,213810,38.06209278
Atayal,"1,871","90,364",2.070514807,92235,16.41951793
Paiwan,"21,419","81,512",26.27711257,102931,18.32360167
Bunun,364,"59,248",0.61436673,59612,10.61202692
Rukai / Combined,"2,644","10,847",24.37540334,13491,2.401644889
Pinyumayan,"14,446",112,0.775301121,14558,2.591590415
Tsou,15,"6,686",0.224349387,6701,1.19290063
Saisyat,"4,506","2,230",49.48956946,6736,1.199131271
Yami,12,"4,681",0.25635548,4693,0.835439883
Thao,811,7,0.863131936,818,0.14561897
Kavalan,"1,499",2,0.133422282,1501,0.267205469
Truku,147,"32,263",0.455630289,32410,5.769573112
Sakizaya,986,2,0.202839757,988,0.175882081
Sediq,15,"10,455",0.143472023,10470,1.863851604
Hlaalua,0,420,0,420,0.074767686
Kanakanavu,0,366,0,366,0.065154698
Total,"261,346","300,394",,561740,100